Time,Tx Commit p50,Tx Commit p90
2025-10-02 10:10:09,467,508
2025-10-02 10:10:10,466,509
2025-10-02 10:10:10,466,509
2025-10-02 10:10:11,466,510
2025-10-02 10:10:11,472,532
2025-10-02 10:10:12,470,525
2025-10-02 10:10:12,470,522
2025-10-02 10:10:13,473,524
2025-10-02 10:10:13,474,527
2025-10-02 10:10:14,474,525
2025-10-02 10:10:14,477,534
2025-10-02 10:10:15,477,533
2025-10-02 10:10:15,477,534
2025-10-02 10:10:16,477,534
2025-10-02 10:10:16,476,535
2025-10-02 10:10:17,477,537
2025-10-02 10:10:17,476,536
2025-10-02 10:10:18,476,534
2025-10-02 10:10:18,475,534
2025-10-02 10:10:19,475,533
2025-10-02 10:10:19,475,533
2025-10-02 10:10:20,475,533
2025-10-02 10:10:20,475,533
2025-10-02 10:10:21,475,533
2025-10-02 10:10:21,475,533
2025-10-02 10:10:22,475,533
2025-10-02 10:10:22,475,533
2025-10-02 10:10:23,475,533
2025-10-02 10:10:23,475,533
2025-10-02 10:10:24,475,533
2025-10-02 10:10:24,475,533
2025-10-02 10:10:25,475,533
2025-10-02 10:10:25,475,533
2025-10-02 10:10:26,475,533
2025-10-02 10:10:26,475,533
2025-10-02 10:10:27,475,533
2025-10-02 10:10:27,475,533
2025-10-02 10:10:28,475,533
2025-10-02 10:10:28,475,533
2025-10-02 10:10:29,475,533
2025-10-02 10:10:29,475,533
2025-10-02 10:10:30,475,533
2025-10-02 10:10:30,475,533
2025-10-02 10:10:31,475,533
2025-10-02 10:10:31,475,533
2025-10-02 10:10:32,475,533
2025-10-02 10:10:32,475,533
2025-10-02 10:10:33,475,533
2025-10-02 10:10:33,475,533
2025-10-02 10:10:34,475,533
2025-10-02 10:10:34,475,533
2025-10-02 10:10:35,475,533
2025-10-02 10:10:35,475,533
2025-10-02 10:10:36,475,533
2025-10-02 10:10:36,475,533
2025-10-02 10:10:37,475,533
2025-10-02 10:10:37,475,533
2025-10-02 10:10:38,475,533
2025-10-02 10:10:38,475,533
2025-10-02 10:10:39,475,533
2025-10-02 10:10:39,475,533
2025-10-02 10:10:40,475,533
2025-10-02 10:10:40,475,533
2025-10-02 10:10:41,475,533
2025-10-02 10:10:41,475,533
2025-10-02 10:10:42,475,533
2025-10-02 10:10:42,475,533
2025-10-02 10:10:43,475,533
2025-10-02 10:10:43,475,533
2025-10-02 10:10:44,475,533
2025-10-02 10:10:44,475,533
2025-10-02 10:10:45,475,533
2025-10-02 10:10:45,475,533
2025-10-02 10:10:46,475,533
2025-10-02 10:10:46,475,533
2025-10-02 10:10:47,475,533
2025-10-02 10:10:47,475,533
2025-10-02 10:10:48,475,533
2025-10-02 10:10:48,475,533
2025-10-02 10:10:49,475,533
2025-10-02 10:10:49,475,533
2025-10-02 10:10:50,475,533
2025-10-02 10:10:50,475,533
2025-10-02 10:10:51,475,533
2025-10-02 10:10:51,475,533
2025-10-02 10:10:52,475,533
2025-10-02 10:10:52,475,533
2025-10-02 10:10:53,475,533
2025-10-02 10:10:53,475,533
2025-10-02 10:10:54,475,533
2025-10-02 10:10:54,475,533
2025-10-02 10:10:55,475,533
2025-10-02 10:10:55,475,533
2025-10-02 10:10:56,475,533
2025-10-02 10:10:56,475,533
2025-10-02 10:10:57,475,533
2025-10-02 10:10:57,475,533
2025-10-02 10:10:58,475,533
2025-10-02 10:10:58,475,533
2025-10-02 10:10:59,475,533
2025-10-02 10:10:59,475,533
2025-10-02 10:11:00,475,533
2025-10-02 10:11:00,475,533
2025-10-02 10:11:01,475,533
2025-10-02 10:11:01,475,533
2025-10-02 10:11:02,475,533
2025-10-02 10:11:02,475,533
2025-10-02 10:11:03,475,533
2025-10-02 10:11:03,475,533
2025-10-02 10:11:04,475,533
2025-10-02 10:11:04,475,533
2025-10-02 10:11:05,475,533
2025-10-02 10:11:05,475,533
2025-10-02 10:11:06,475,533
2025-10-02 10:11:06,475,533
2025-10-02 10:11:07,475,533
2025-10-02 10:11:07,475,533
2025-10-02 10:11:08,475,533
2025-10-02 10:11:08,475,533
2025-10-02 10:11:09,475,533
2025-10-02 10:11:09,475,533
2025-10-02 10:11:10,475,533
2025-10-02 10:11:10,475,533
2025-10-02 10:11:11,475,533
2025-10-02 10:11:11,475,533
2025-10-02 10:11:12,475,533
2025-10-02 10:11:12,475,533
2025-10-02 10:11:13,475,533
2025-10-02 10:11:13,475,533
2025-10-02 10:11:14,475,533
2025-10-02 10:11:14,475,532
2025-10-02 10:11:15,475,532
2025-10-02 10:11:15,475,532
2025-10-02 10:11:16,475,532
2025-10-02 10:11:16,475,532
2025-10-02 10:11:17,475,532
2025-10-02 10:11:17,475,532
2025-10-02 10:11:18,475,532
2025-10-02 10:11:18,475,532
2025-10-02 10:11:19,475,532
2025-10-02 10:11:19,475,532
2025-10-02 10:11:20,475,532
2025-10-02 10:11:20,475,532
2025-10-02 10:11:21,475,532
2025-10-02 10:11:21,475,532
2025-10-02 10:11:22,475,532
2025-10-02 10:11:22,475,532
2025-10-02 10:11:23,475,532
2025-10-02 10:11:23,475,532
2025-10-02 10:11:24,475,532
2025-10-02 10:11:24,475,532
2025-10-02 10:11:25,475,532
2025-10-02 10:11:25,475,532
2025-10-02 10:11:26,475,532
2025-10-02 10:11:26,475,532
2025-10-02 10:11:27,475,532
2025-10-02 10:11:27,475,532
2025-10-02 10:11:28,475,532
2025-10-02 10:11:28,475,532
2025-10-02 10:11:29,475,532
2025-10-02 10:11:29,475,532
2025-10-02 10:11:30,475,532
2025-10-02 10:11:30,475,532
2025-10-02 10:11:31,475,532
2025-10-02 10:11:31,475,532
2025-10-02 10:11:32,475,532
2025-10-02 10:11:32,475,532
2025-10-02 10:11:33,475,532
2025-10-02 10:11:33,475,532
2025-10-02 10:11:34,475,532
2025-10-02 10:11:34,475,532
2025-10-02 10:11:35,475,532
2025-10-02 10:11:35,475,532
2025-10-02 10:11:36,475,532
2025-10-02 10:11:36,475,532
2025-10-02 10:11:37,475,532
2025-10-02 10:11:37,475,532
2025-10-02 10:11:38,475,532
2025-10-02 10:11:38,475,532
2025-10-02 10:11:39,475,532
2025-10-02 10:11:39,475,532
2025-10-02 10:11:40,475,532
2025-10-02 10:11:40,475,532
2025-10-02 10:11:41,475,532
2025-10-02 10:11:41,475,532
2025-10-02 10:11:42,475,532
2025-10-02 10:11:42,475,532
2025-10-02 10:11:43,475,532
2025-10-02 10:11:43,475,532
