Time,Tx Commit p50,Tx Commit p90
2025-10-01 16:13:14,429,563
2025-10-01 16:13:15,450,550
2025-10-01 16:13:15,445,540
2025-10-01 16:13:16,443,533
2025-10-01 16:13:16,441,524
2025-10-01 16:13:17,441,524
2025-10-01 16:13:17,440,569
2025-10-01 16:13:18,437,551
2025-10-01 16:13:18,437,551
2025-10-01 16:13:19,437,551
2025-10-01 16:13:19,437,551
2025-10-01 16:13:20,437,551
2025-10-01 16:13:20,437,551
2025-10-01 16:13:21,437,551
2025-10-01 16:13:21,437,551
2025-10-01 16:13:22,437,551
2025-10-01 16:13:22,437,551
2025-10-01 16:13:23,437,551
2025-10-01 16:13:23,437,551
2025-10-01 16:13:24,437,551
2025-10-01 16:13:24,437,551
2025-10-01 16:13:25,437,551
2025-10-01 16:13:25,437,551
2025-10-01 16:13:26,437,551
2025-10-01 16:13:26,437,551
2025-10-01 16:13:27,437,551
2025-10-01 16:13:27,437,551
2025-10-01 16:13:28,437,551
2025-10-01 16:13:28,437,551
2025-10-01 16:13:29,437,551
2025-10-01 16:13:29,437,551
2025-10-01 16:13:30,437,551
2025-10-01 16:13:30,437,551
2025-10-01 16:13:31,437,551
2025-10-01 16:13:31,437,551
2025-10-01 16:13:32,437,551
2025-10-01 16:13:32,437,551
2025-10-01 16:13:33,437,551
2025-10-01 16:13:33,437,551
2025-10-01 16:13:34,437,551
2025-10-01 16:13:34,437,551
2025-10-01 16:13:35,437,551
2025-10-01 16:13:35,437,551
2025-10-01 16:13:36,437,551
2025-10-01 16:13:36,437,551
2025-10-01 16:13:37,437,551
2025-10-01 16:13:37,437,551
2025-10-01 16:13:38,437,551
2025-10-01 16:13:38,437,551
2025-10-01 16:13:39,437,551
2025-10-01 16:13:39,437,551
2025-10-01 16:13:40,437,551
2025-10-01 16:13:40,437,551
2025-10-01 16:13:41,437,551
2025-10-01 16:13:41,437,551
2025-10-01 16:13:42,437,551
2025-10-01 16:13:42,437,551
2025-10-01 16:13:43,437,551
2025-10-01 16:13:43,437,551
2025-10-01 16:13:44,437,551
2025-10-01 16:13:44,437,551
2025-10-01 16:13:45,437,551
2025-10-01 16:13:45,437,551
2025-10-01 16:13:46,437,551
2025-10-01 16:13:46,437,551
2025-10-01 16:13:47,437,551
2025-10-01 16:13:47,437,551
2025-10-01 16:13:48,437,551
2025-10-01 16:13:48,437,551
2025-10-01 16:13:49,437,551
2025-10-01 16:13:49,437,551
2025-10-01 16:13:50,437,551
2025-10-01 16:13:50,437,551
2025-10-01 16:13:51,437,551
2025-10-01 16:13:51,437,551
2025-10-01 16:13:52,437,551
2025-10-01 16:13:52,437,551
2025-10-01 16:13:53,437,551
2025-10-01 16:13:53,437,551
2025-10-01 16:13:54,437,551
2025-10-01 16:13:54,437,551
2025-10-01 16:13:55,437,551
2025-10-01 16:13:55,437,551
2025-10-01 16:13:56,437,551
2025-10-01 16:13:56,437,551
2025-10-01 16:13:57,437,551
2025-10-01 16:13:57,437,551
2025-10-01 16:13:58,437,551
2025-10-01 16:13:58,437,551
2025-10-01 16:13:59,437,551
2025-10-01 16:13:59,437,551
2025-10-01 16:14:00,437,551
2025-10-01 16:14:00,437,551
2025-10-01 16:14:01,437,551
2025-10-01 16:14:01,437,551
2025-10-01 16:14:02,437,551
2025-10-01 16:14:02,437,551
2025-10-01 16:14:03,437,551
2025-10-01 16:14:03,437,551
2025-10-01 16:14:04,437,551
2025-10-01 16:14:04,437,551
2025-10-01 16:14:05,437,551
2025-10-01 16:14:05,437,551
2025-10-01 16:14:06,437,551
2025-10-01 16:14:06,437,551
2025-10-01 16:14:07,437,551
2025-10-01 16:14:07,437,551
2025-10-01 16:14:08,437,551
2025-10-01 16:14:08,437,551
2025-10-01 16:14:09,437,551
2025-10-01 16:14:09,437,551
2025-10-01 16:14:10,437,551
2025-10-01 16:14:10,437,551
2025-10-01 16:14:11,437,551
2025-10-01 16:14:11,437,551
2025-10-01 16:14:12,437,551
2025-10-01 16:14:12,437,551
2025-10-01 16:14:13,437,551
2025-10-01 16:14:13,437,551
2025-10-01 16:14:14,437,551
2025-10-01 16:14:14,437,543
2025-10-01 16:14:15,436,537
2025-10-01 16:14:15,436,535
2025-10-01 16:14:16,435,534
2025-10-01 16:14:16,435,533
2025-10-01 16:14:17,435,533
2025-10-01 16:14:17,434,488
2025-10-01 16:14:18,433,487
2025-10-01 16:14:18,433,487
2025-10-01 16:14:19,433,487
2025-10-01 16:14:19,433,487
2025-10-01 16:14:20,433,487
2025-10-01 16:14:20,433,487
2025-10-01 16:14:21,433,487
2025-10-01 16:14:21,433,487
