Time,Tx Commit p50,Tx Commit p90
2025-10-02 10:26:33,507,879
2025-10-02 10:26:34,507,879
2025-10-02 10:26:34,507,879
2025-10-02 10:26:35,504,911
2025-10-02 10:26:35,505,890
2025-10-02 10:26:36,505,897
2025-10-02 10:26:36,510,921
2025-10-02 10:26:37,510,920
2025-10-02 10:26:37,509,921
2025-10-02 10:26:38,510,917
2025-10-02 10:26:38,509,886
2025-10-02 10:26:39,509,887
2025-10-02 10:26:39,508,846
2025-10-02 10:26:40,510,843
2025-10-02 10:26:40,510,833
2025-10-02 10:26:41,510,830
2025-10-02 10:26:41,510,799
2025-10-02 10:26:42,509,781
2025-10-02 10:26:42,511,762
2025-10-02 10:26:43,511,757
2025-10-02 10:26:43,511,757
2025-10-02 10:26:44,511,741
2025-10-02 10:26:44,511,741
2025-10-02 10:26:45,511,741
2025-10-02 10:26:45,511,741
2025-10-02 10:26:46,511,741
2025-10-02 10:26:46,511,741
2025-10-02 10:26:47,511,741
2025-10-02 10:26:47,511,741
2025-10-02 10:26:48,511,741
2025-10-02 10:26:48,511,741
2025-10-02 10:26:49,511,741
2025-10-02 10:26:49,511,741
2025-10-02 10:26:50,511,741
2025-10-02 10:26:50,511,741
2025-10-02 10:26:51,511,741
2025-10-02 10:26:51,511,741
2025-10-02 10:26:52,511,741
2025-10-02 10:26:52,511,741
2025-10-02 10:26:53,511,741
2025-10-02 10:26:53,511,741
2025-10-02 10:26:54,511,741
2025-10-02 10:26:54,511,741
2025-10-02 10:26:55,511,741
2025-10-02 10:26:55,511,741
2025-10-02 10:26:56,511,741
2025-10-02 10:26:56,511,741
2025-10-02 10:26:57,511,741
2025-10-02 10:26:57,511,741
2025-10-02 10:26:58,511,741
2025-10-02 10:26:58,511,741
2025-10-02 10:26:59,511,741
2025-10-02 10:26:59,511,741
2025-10-02 10:27:00,511,741
2025-10-02 10:27:00,511,741
2025-10-02 10:27:01,511,741
2025-10-02 10:27:01,511,741
2025-10-02 10:27:02,511,741
2025-10-02 10:27:02,511,741
2025-10-02 10:27:03,511,741
2025-10-02 10:27:03,511,741
2025-10-02 10:27:04,511,741
2025-10-02 10:27:04,511,741
2025-10-02 10:27:05,511,741
2025-10-02 10:27:05,511,741
2025-10-02 10:27:06,511,741
2025-10-02 10:27:06,511,741
2025-10-02 10:27:07,511,741
2025-10-02 10:27:07,511,741
2025-10-02 10:27:08,511,741
2025-10-02 10:27:08,511,741
2025-10-02 10:27:09,511,741
2025-10-02 10:27:09,511,741
2025-10-02 10:27:10,511,741
2025-10-02 10:27:10,511,741
2025-10-02 10:27:11,511,741
2025-10-02 10:27:11,511,741
2025-10-02 10:27:12,511,741
2025-10-02 10:27:12,511,741
2025-10-02 10:27:13,511,741
2025-10-02 10:27:13,511,741
2025-10-02 10:27:14,511,741
2025-10-02 10:27:14,511,741
2025-10-02 10:27:15,511,741
2025-10-02 10:27:15,511,741
2025-10-02 10:27:16,511,741
2025-10-02 10:27:16,511,741
2025-10-02 10:27:17,511,741
2025-10-02 10:27:17,511,741
2025-10-02 10:27:18,511,741
2025-10-02 10:27:18,511,741
2025-10-02 10:27:19,511,741
2025-10-02 10:27:19,511,741
2025-10-02 10:27:20,511,741
2025-10-02 10:27:20,511,741
2025-10-02 10:27:21,511,741
2025-10-02 10:27:21,511,741
2025-10-02 10:27:22,511,741
2025-10-02 10:27:22,511,741
