Time,Tx Commit p50,Tx Commit p90
2025-10-06 10:48:27,413,454
2025-10-06 10:48:27,413,454
2025-10-06 10:48:28,406,451
2025-10-06 10:48:28,407,454
2025-10-06 10:48:29,407,454
2025-10-06 10:48:29,407,454
2025-10-06 10:48:30,407,454
2025-10-06 10:48:30,407,454
2025-10-06 10:48:31,414,464
2025-10-06 10:48:31,408,464
2025-10-06 10:48:32,408,464
2025-10-06 10:48:32,408,464
2025-10-06 10:48:33,408,464
2025-10-06 10:48:33,408,464
2025-10-06 10:48:34,408,464
2025-10-06 10:48:34,408,464
2025-10-06 10:48:35,408,464
2025-10-06 10:48:35,408,464
2025-10-06 10:48:36,408,464
2025-10-06 10:48:36,408,464
2025-10-06 10:48:37,408,464
2025-10-06 10:48:37,408,464
2025-10-06 10:48:38,408,464
2025-10-06 10:48:38,408,464
2025-10-06 10:48:39,408,464
2025-10-06 10:48:39,408,464
2025-10-06 10:48:40,408,464
2025-10-06 10:48:40,408,464
2025-10-06 10:48:41,408,464
2025-10-06 10:48:41,408,464
2025-10-06 10:48:42,408,464
2025-10-06 10:48:42,408,464
2025-10-06 10:48:43,408,464
2025-10-06 10:48:43,408,464
2025-10-06 10:48:44,408,464
2025-10-06 10:48:44,408,464
2025-10-06 10:48:45,408,464
2025-10-06 10:48:45,408,464
2025-10-06 10:48:46,408,464
2025-10-06 10:48:46,408,464
2025-10-06 10:48:47,408,464
2025-10-06 10:48:47,408,464
2025-10-06 10:48:48,408,464
2025-10-06 10:48:48,408,464
2025-10-06 10:48:49,408,464
2025-10-06 10:48:49,408,464
2025-10-06 10:48:50,408,464
2025-10-06 10:48:50,408,464
2025-10-06 10:48:51,408,464
2025-10-06 10:48:51,408,464
2025-10-06 10:48:52,408,464
2025-10-06 10:48:52,408,464
2025-10-06 10:48:53,408,464
2025-10-06 10:48:53,408,464
2025-10-06 10:48:54,408,464
2025-10-06 10:48:54,408,464
2025-10-06 10:48:55,408,464
2025-10-06 10:48:55,408,464
2025-10-06 10:48:56,408,464
2025-10-06 10:48:56,408,464
2025-10-06 10:48:57,408,464
2025-10-06 10:48:57,408,464
2025-10-06 10:48:58,408,464
2025-10-06 10:48:58,408,464
2025-10-06 10:48:59,408,464
