Time,Tx Commit p50,Tx Commit p90
2025-10-01 14:09:32,396,480
2025-10-01 14:09:33,396,480
2025-10-01 14:09:33,396,480
2025-10-01 14:09:34,399,469
2025-10-01 14:09:34,399,469
2025-10-01 14:09:35,399,469
2025-10-01 14:09:35,415,477
2025-10-01 14:09:36,413,475
2025-10-01 14:09:36,411,473
2025-10-01 14:09:37,408,468
2025-10-01 14:09:37,407,466
2025-10-01 14:09:38,407,466
2025-10-01 14:09:38,407,466
2025-10-01 14:09:39,407,466
2025-10-01 14:09:39,407,466
2025-10-01 14:09:40,407,466
2025-10-01 14:09:40,407,466
2025-10-01 14:09:41,407,466
2025-10-01 14:09:41,407,466
2025-10-01 14:09:42,407,466
2025-10-01 14:09:42,407,466
2025-10-01 14:09:43,407,466
2025-10-01 14:09:43,407,466
2025-10-01 14:09:44,407,466
2025-10-01 14:09:44,407,466
2025-10-01 14:09:45,407,466
2025-10-01 14:09:45,407,466
2025-10-01 14:09:46,407,466
2025-10-01 14:09:46,407,466
2025-10-01 14:09:47,407,466
2025-10-01 14:09:47,407,466
2025-10-01 14:09:48,407,466
2025-10-01 14:09:48,407,466
2025-10-01 14:09:49,407,466
2025-10-01 14:09:49,407,466
2025-10-01 14:09:50,407,466
2025-10-01 14:09:50,407,466
2025-10-01 14:09:51,407,466
2025-10-01 14:09:51,407,466
2025-10-01 14:09:52,407,466
2025-10-01 14:09:52,407,466
2025-10-01 14:09:53,407,466
2025-10-01 14:09:53,407,466
2025-10-01 14:09:54,407,466
2025-10-01 14:09:54,407,466
2025-10-01 14:09:55,407,466
2025-10-01 14:09:55,407,466
2025-10-01 14:09:56,407,466
2025-10-01 14:09:56,407,466
2025-10-01 14:09:57,407,466
2025-10-01 14:09:57,407,466
2025-10-01 14:09:58,407,466
2025-10-01 14:09:58,407,466
2025-10-01 14:09:59,407,466
2025-10-01 14:09:59,407,466
2025-10-01 14:10:00,407,466
2025-10-01 14:10:00,407,466
2025-10-01 14:10:01,407,466
2025-10-01 14:10:01,407,466
2025-10-01 14:10:02,407,466
2025-10-01 14:10:02,407,466
2025-10-01 14:10:03,407,466
2025-10-01 14:10:03,407,466
2025-10-01 14:10:04,407,466
2025-10-01 14:10:04,407,466
2025-10-01 14:10:05,407,466
2025-10-01 14:10:05,407,466
2025-10-01 14:10:06,407,466
2025-10-01 14:10:06,407,466
2025-10-01 14:10:07,407,466
2025-10-01 14:10:07,407,466
2025-10-01 14:10:08,407,466
2025-10-01 14:10:08,407,466
2025-10-01 14:10:09,407,466
2025-10-01 14:10:09,407,466
2025-10-01 14:10:10,407,466
2025-10-01 14:10:10,407,466
2025-10-01 14:10:11,407,466
2025-10-01 14:10:11,407,466
2025-10-01 14:10:12,407,466
2025-10-01 14:10:12,407,466
2025-10-01 14:10:13,407,466
2025-10-01 14:10:13,407,466
2025-10-01 14:10:14,407,466
2025-10-01 14:10:14,407,466
2025-10-01 14:10:15,407,466
2025-10-01 14:10:15,407,466
2025-10-01 14:10:16,407,466
2025-10-01 14:10:16,407,466
2025-10-01 14:10:17,407,466
2025-10-01 14:10:17,407,466
2025-10-01 14:10:18,407,466
2025-10-01 14:10:18,407,466
2025-10-01 14:10:19,407,466
2025-10-01 14:10:19,407,466
2025-10-01 14:10:20,407,466
2025-10-01 14:10:20,407,466
2025-10-01 14:10:21,407,466
2025-10-01 14:10:21,407,466
2025-10-01 14:10:22,407,466
2025-10-01 14:10:22,407,466
2025-10-01 14:10:23,407,466
2025-10-01 14:10:23,407,466
2025-10-01 14:10:24,407,466
2025-10-01 14:10:24,407,466
2025-10-01 14:10:25,407,466
2025-10-01 14:10:25,407,466
2025-10-01 14:10:26,407,466
2025-10-01 14:10:26,407,466
2025-10-01 14:10:27,407,466
2025-10-01 14:10:27,407,466
2025-10-01 14:10:28,407,466
2025-10-01 14:10:28,407,466
2025-10-01 14:10:29,407,466
2025-10-01 14:10:29,407,466
2025-10-01 14:10:30,407,466
2025-10-01 14:10:30,407,466
2025-10-01 14:10:31,407,466
2025-10-01 14:10:31,407,466
2025-10-01 14:10:32,407,466
2025-10-01 14:10:32,407,464
2025-10-01 14:10:33,407,464
2025-10-01 14:10:33,407,464
2025-10-01 14:10:34,407,460
2025-10-01 14:10:34,407,460
2025-10-01 14:10:35,407,460
2025-10-01 14:10:35,407,458
2025-10-01 14:10:36,406,457
2025-10-01 14:10:36,405,455
2025-10-01 14:10:37,405,454
2025-10-01 14:10:37,405,454
2025-10-01 14:10:38,405,454
2025-10-01 14:10:38,405,454
2025-10-01 14:10:39,405,454
2025-10-01 14:10:39,405,454
2025-10-01 14:10:40,405,454
2025-10-01 14:10:40,405,454
2025-10-01 14:10:41,405,454
2025-10-01 14:10:41,405,454
2025-10-01 14:10:42,405,454
2025-10-01 14:10:42,405,454
2025-10-01 14:10:43,405,454
2025-10-01 14:10:43,405,454
2025-10-01 14:10:44,405,454
2025-10-01 14:10:44,405,454
2025-10-01 14:10:45,405,454
2025-10-01 14:10:45,405,454
2025-10-01 14:10:46,405,454
2025-10-01 14:10:46,405,454
2025-10-01 14:10:47,405,454
2025-10-01 14:10:47,405,454
2025-10-01 14:10:48,405,454
2025-10-01 14:10:48,405,454
2025-10-01 14:10:49,405,454
2025-10-01 14:10:49,405,454
2025-10-01 14:10:50,405,454
2025-10-01 14:10:50,405,454
2025-10-01 14:10:51,405,454
2025-10-01 14:10:51,405,454
2025-10-01 14:10:52,405,454
2025-10-01 14:10:52,405,454
2025-10-01 14:10:53,405,454
2025-10-01 14:10:53,405,454
2025-10-01 14:10:54,405,454
2025-10-01 14:10:54,405,454
2025-10-01 14:10:55,405,454
2025-10-01 14:10:55,405,454
2025-10-01 14:10:56,405,454
2025-10-01 14:10:56,405,454
2025-10-01 14:10:57,405,454
2025-10-01 14:10:57,405,454
2025-10-01 14:10:58,405,454
2025-10-01 14:10:58,405,454
2025-10-01 14:10:59,405,454
2025-10-01 14:10:59,405,454
2025-10-01 14:11:00,405,454
2025-10-01 14:11:00,405,454
2025-10-01 14:11:01,405,454
2025-10-01 14:11:01,405,454
2025-10-01 14:11:02,405,454
2025-10-01 14:11:02,405,454
2025-10-01 14:11:03,405,454
2025-10-01 14:11:03,405,454
2025-10-01 14:11:04,405,454
2025-10-01 14:11:04,405,454
2025-10-01 14:11:05,405,454
2025-10-01 14:11:05,405,454
2025-10-01 14:11:06,405,454
2025-10-01 14:11:06,405,454
2025-10-01 14:11:07,405,454
2025-10-01 14:11:07,405,454
2025-10-01 14:11:08,405,454
2025-10-01 14:11:08,405,454
2025-10-01 14:11:09,405,454
2025-10-01 14:11:09,405,454
2025-10-01 14:11:10,405,454
2025-10-01 14:11:10,405,454
2025-10-01 14:11:11,405,454
2025-10-01 14:11:11,405,454
2025-10-01 14:11:12,405,454
2025-10-01 14:11:12,405,454
2025-10-01 14:11:13,405,454
2025-10-01 14:11:13,405,454
2025-10-01 14:11:14,405,454
2025-10-01 14:11:14,405,454
2025-10-01 14:11:15,405,454
2025-10-01 14:11:15,405,454
2025-10-01 14:11:16,405,454
2025-10-01 14:11:16,405,454
2025-10-01 14:11:17,405,454
2025-10-01 14:11:17,405,454
2025-10-01 14:11:18,405,454
2025-10-01 14:11:18,405,454
2025-10-01 14:11:19,405,454
2025-10-01 14:11:19,405,454
2025-10-01 14:11:20,405,454
2025-10-01 14:11:20,405,454
2025-10-01 14:11:21,405,454
2025-10-01 14:11:21,405,454
2025-10-01 14:11:22,405,454
2025-10-01 14:11:22,405,454
2025-10-01 14:11:23,405,454
2025-10-01 14:11:23,405,454
2025-10-01 14:11:24,405,454
2025-10-01 14:11:24,405,454
2025-10-01 14:11:25,405,454
2025-10-01 14:11:25,405,454
2025-10-01 14:11:26,405,454
2025-10-01 14:11:26,405,454
2025-10-01 14:11:27,405,454
2025-10-01 14:11:27,405,454
2025-10-01 14:11:28,405,454
2025-10-01 14:11:28,405,454
2025-10-01 14:11:29,405,454
2025-10-01 14:11:29,405,454
2025-10-01 14:11:30,405,454
2025-10-01 14:11:30,405,454
2025-10-01 14:11:31,405,454
2025-10-01 14:11:31,405,454
2025-10-01 14:11:32,405,454
2025-10-01 14:11:32,405,454
2025-10-01 14:11:33,405,454
2025-10-01 14:11:33,405,454
2025-10-01 14:11:34,405,454
2025-10-01 14:11:34,405,454
2025-10-01 14:11:35,405,454
2025-10-01 14:11:35,405,454
2025-10-01 14:11:36,405,454
2025-10-01 14:11:36,405,454
2025-10-01 14:11:37,405,454
2025-10-01 14:11:37,405,454
2025-10-01 14:11:38,405,454
2025-10-01 14:11:38,405,454
2025-10-01 14:11:39,405,454
2025-10-01 14:11:39,405,454
2025-10-01 14:11:40,405,454
2025-10-01 14:11:40,405,454
2025-10-01 14:11:41,405,454
2025-10-01 14:11:41,405,454
2025-10-01 14:11:42,405,454
2025-10-01 14:11:42,405,454
2025-10-01 14:11:43,405,454
2025-10-01 14:11:43,405,454
2025-10-01 14:11:44,405,454
2025-10-01 14:11:44,405,454
2025-10-01 14:11:45,405,454
2025-10-01 14:11:45,405,454
2025-10-01 14:11:46,405,454
2025-10-01 14:11:46,405,454
2025-10-01 14:11:47,405,454
2025-10-01 14:11:47,405,454
2025-10-01 14:11:48,405,454
2025-10-01 14:11:48,405,454
2025-10-01 14:11:49,405,454
2025-10-01 14:11:49,405,454
2025-10-01 14:11:50,405,454
2025-10-01 14:11:50,405,454
2025-10-01 14:11:51,405,454
2025-10-01 14:11:51,405,454
2025-10-01 14:11:52,405,454
2025-10-01 14:11:52,405,454
2025-10-01 14:11:53,405,454
2025-10-01 14:11:53,405,454
2025-10-01 14:11:54,405,454
2025-10-01 14:11:54,405,454
2025-10-01 14:11:55,405,454
2025-10-01 14:11:55,405,454
2025-10-01 14:11:56,405,454
2025-10-01 14:11:56,405,454
2025-10-01 14:11:57,405,454
2025-10-01 14:11:57,405,454
2025-10-01 14:11:58,405,454
2025-10-01 14:11:58,405,454
2025-10-01 14:11:59,405,454
2025-10-01 14:11:59,405,454
2025-10-01 14:12:00,405,454
2025-10-01 14:12:00,405,454
2025-10-01 14:12:01,405,454
2025-10-01 14:12:01,405,454
2025-10-01 14:12:02,405,454
2025-10-01 14:12:02,405,454
2025-10-01 14:12:03,405,454
2025-10-01 14:12:03,405,454
2025-10-01 14:12:04,405,454
2025-10-01 14:12:04,405,454
2025-10-01 14:12:05,405,454
2025-10-01 14:12:05,405,454
2025-10-01 14:12:06,405,454
2025-10-01 14:12:06,405,454
2025-10-01 14:12:07,405,454
2025-10-01 14:12:07,405,454
2025-10-01 14:12:08,405,454
2025-10-01 14:12:08,405,454
2025-10-01 14:12:09,405,454
2025-10-01 14:12:09,405,454
2025-10-01 14:12:10,405,454
2025-10-01 14:12:10,405,454
2025-10-01 14:12:11,405,454
2025-10-01 14:12:11,405,454
2025-10-01 14:12:12,405,454
2025-10-01 14:12:12,405,454
2025-10-01 14:12:13,405,454
2025-10-01 14:12:13,405,454
2025-10-01 14:12:14,405,454
2025-10-01 14:12:14,405,454
2025-10-01 14:12:15,405,454
2025-10-01 14:12:15,405,454
2025-10-01 14:12:16,405,454
2025-10-01 14:12:16,405,454
2025-10-01 14:12:17,405,454
2025-10-01 14:12:17,405,454
2025-10-01 14:12:18,405,454
2025-10-01 14:12:18,405,454
2025-10-01 14:12:19,405,454
2025-10-01 14:12:19,405,454
2025-10-01 14:12:20,405,454
2025-10-01 14:12:20,405,454
2025-10-01 14:12:21,405,454
2025-10-01 14:12:21,405,454
2025-10-01 14:12:22,405,454
2025-10-01 14:12:22,405,454
2025-10-01 14:12:23,405,454
2025-10-01 14:12:23,405,454
2025-10-01 14:12:24,405,454
2025-10-01 14:12:24,405,454
2025-10-01 14:12:25,405,454
2025-10-01 14:12:25,405,454
2025-10-01 14:12:26,405,454
2025-10-01 14:12:26,405,454
2025-10-01 14:12:27,405,454
2025-10-01 14:12:27,405,454
2025-10-01 14:12:28,405,454
2025-10-01 14:12:28,405,454
2025-10-01 14:12:29,405,454
2025-10-01 14:12:29,405,454
2025-10-01 14:12:30,405,454
2025-10-01 14:12:30,405,454
2025-10-01 14:12:31,405,454
2025-10-01 14:12:31,405,454
2025-10-01 14:12:32,405,454
2025-10-01 14:12:32,406,456
2025-10-01 14:12:33,406,456
2025-10-01 14:12:33,406,456
2025-10-01 14:12:34,407,460
2025-10-01 14:12:34,407,460
2025-10-01 14:12:35,407,460
2025-10-01 14:12:35,407,464
2025-10-01 14:12:36,409,464
2025-10-01 14:12:36,410,466
2025-10-01 14:12:37,411,468
2025-10-01 14:12:37,411,468
2025-10-01 14:12:38,411,468
2025-10-01 14:12:38,411,468
2025-10-01 14:12:39,411,468
2025-10-01 14:12:39,411,468
2025-10-01 14:12:40,411,468
2025-10-01 14:12:40,411,468
2025-10-01 14:12:41,411,468
2025-10-01 14:12:41,411,468
2025-10-01 14:12:42,411,468
2025-10-01 14:12:42,411,468
2025-10-01 14:12:43,411,468
2025-10-01 14:12:43,411,468
2025-10-01 14:12:44,411,468
2025-10-01 14:12:44,411,468
2025-10-01 14:12:45,411,468
2025-10-01 14:12:45,411,468
2025-10-01 14:12:46,411,468
2025-10-01 14:12:46,411,468
2025-10-01 14:12:47,411,468
2025-10-01 14:12:47,411,468
2025-10-01 14:12:48,411,468
2025-10-01 14:12:48,411,468
2025-10-01 14:12:49,411,468
2025-10-01 14:12:49,411,468
2025-10-01 14:12:50,411,468
